beats its chest,can swing from trees,has fur/hair,is black,is dangerous,is large,is strong,likes to eats bananas,label
7.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,1
6.0,6.0,7.0,7.0,5.0,6.0,6.0,6.0,1
4.0,4.0,6.0,7.0,3.0,6.0,6.0,5.0,1
6.0,6.0,7.0,6.0,4.0,6.0,7.0,7.0,1
1.0,4.0,1.0,1.0,2.0,3.0,5.0,1.0,0
1.0,1.0,1.0,1.0,7.0,7.0,7.0,1.0,0
1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,0
5.0,5.0,7.0,6.0,5.0,6.0,6.0,5.0,1
6.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,1
5.0,6.0,7.0,5.0,5.0,4.0,6.0,6.0,1
1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,0
5.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,1
1.0,1.0,7.0,2.0,7.0,6.0,7.0,1.0,0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1
5.0,4.0,6.0,7.0,6.0,6.0,6.0,6.0,1
1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0
1.0,1.0,6.0,6.0,1.0,3.0,2.0,2.0,0
6.0,6.0,7.0,7.0,6.0,7.0,7.0,6.0,1
6.0,6.0,7.0,7.0,5.0,7.0,7.0,6.0,1
7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,1
6.0,6.0,7.0,7.0,5.0,7.0,7.0,5.0,1
5.0,5.0,7.0,7.0,5.0,7.0,7.0,5.0,1
7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,1
1.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,0
6.0,6.0,7.0,7.0,5.0,6.0,6.0,6.0,1
7.0,3.0,7.0,7.0,4.0,7.0,7.0,4.0,1
6.0,5.0,7.0,7.0,5.0,7.0,7.0,5.0,1
1.0,1.0,1.0,7.0,1.0,6.0,7.0,1.0,0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0
6.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,1
2.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,0
5.0,5.0,7.0,7.0,4.0,7.0,6.0,5.0,1
6.0,6.0,7.0,7.0,5.0,7.0,7.0,6.0,1
6.0,6.0,7.0,7.0,6.0,7.0,7.0,6.0,1
7.0,5.0,7.0,6.0,6.0,6.0,6.0,7.0,1
6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,1
1.0,1.0,1.0,1.0,5.0,2.0,4.0,1.0,0
4.0,5.0,7.0,7.0,4.0,3.0,4.0,4.0,1
1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,0
1.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,0
4.0,5.0,7.0,7.0,5.0,6.0,6.0,5.0,1
6.0,6.0,7.0,7.0,6.0,7.0,7.0,3.0,1
6.0,6.0,7.0,6.0,5.0,7.0,7.0,4.0,1
4.0,4.0,7.0,4.0,4.0,6.0,7.0,5.0,1
1.0,1.0,1.0,7.0,1.0,7.0,6.0,1.0,0
6.0,6.0,7.0,7.0,6.0,7.0,7.0,6.0,1
1.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,0
1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,0
7.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,1
5.0,4.0,6.0,7.0,4.0,7.0,6.0,4.0,1
6.0,6.0,7.0,4.0,7.0,6.0,7.0,7.0,1
7.0,7.0,7.0,6.0,5.0,7.0,7.0,6.0,1
6.0,6.0,6.0,7.0,4.0,7.0,6.0,6.0,1
6.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,1
6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,1
1.0,2.0,6.0,3.0,2.0,3.0,3.0,2.0,0
4.0,6.0,7.0,7.0,6.0,6.0,6.0,4.0,1
1.0,2.0,7.0,1.0,6.0,6.0,7.0,1.0,0
6.0,5.0,7.0,7.0,5.0,7.0,7.0,5.0,1
5.0,6.0,7.0,6.0,4.0,6.0,6.0,4.0,1
1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,0
6.0,5.0,7.0,6.0,5.0,7.0,7.0,7.0,1
6.0,6.0,7.0,5.0,5.0,6.0,6.0,6.0,1
4.0,5.0,7.0,7.0,6.0,6.0,7.0,6.0,1
1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,0
1.0,1.0,1.0,1.0,4.0,5.0,3.0,2.0,0
6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,1
7.0,4.0,7.0,7.0,6.0,7.0,7.0,6.0,1
6.0,3.0,7.0,7.0,6.0,7.0,7.0,6.0,1
6.0,7.0,7.0,7.0,6.0,6.0,7.0,5.0,1
4.0,4.0,7.0,7.0,6.0,7.0,6.0,5.0,1
6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,1
1.0,1.0,1.0,6.0,3.0,2.0,6.0,1.0,0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0
6.0,6.0,6.0,6.0,5.0,7.0,6.0,7.0,1
7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,1
1.0,1.0,7.0,2.0,3.0,5.0,5.0,2.0,0
4.0,5.0,7.0,7.0,4.0,6.0,6.0,6.0,1
1.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,0
1.0,1.0,1.0,1.0,2.0,5.0,5.0,1.0,0
1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,0
2.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,0
1.0,1.0,1.0,2.0,4.0,4.0,3.0,1.0,0
6.0,7.0,7.0,7.0,4.0,6.0,7.0,7.0,1
1.0,5.0,7.0,7.0,4.0,6.0,6.0,3.0,1
1.0,2.0,1.0,1.0,4.0,7.0,2.0,1.0,0
6.0,6.0,7.0,7.0,5.0,7.0,6.0,5.0,1
7.0,4.0,7.0,7.0,7.0,7.0,7.0,4.0,1
1.0,1.0,5.0,2.0,2.0,4.0,3.0,2.0,0
7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,1
7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,1
6.0,6.0,6.0,7.0,4.0,7.0,6.0,6.0,1
5.0,7.0,7.0,3.0,3.0,5.0,5.0,5.0,1
1.0,1.0,6.0,1.0,4.0,6.0,5.0,4.0,0
1.0,1.0,1.0,5.0,2.0,4.0,3.0,1.0,0
6.0,4.0,7.0,7.0,6.0,7.0,7.0,5.0,1
5.0,6.0,7.0,7.0,6.0,7.0,7.0,5.0,1
1.0,1.0,1.0,2.0,4.0,5.0,4.0,1.0,0
2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,0
4.0,4.0,7.0,7.0,6.0,6.0,6.0,4.0,1
1.0,1.0,1.0,7.0,2.0,4.0,2.0,1.0,0
1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0
4.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,1
3.0,6.0,7.0,7.0,3.0,6.0,5.0,4.0,1
1.0,1.0,5.0,1.0,3.0,3.0,4.0,2.0,0
6.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,1
7.0,4.0,7.0,7.0,5.0,6.0,7.0,6.0,1
7.0,5.0,7.0,7.0,6.0,7.0,7.0,6.0,1
1.0,1.0,1.0,5.0,2.0,4.0,2.0,1.0,0
1.0,1.0,1.0,7.0,1.0,6.0,7.0,1.0,0
1.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,0
5.0,6.0,7.0,7.0,4.0,6.0,6.0,6.0,1
4.0,7.0,7.0,7.0,2.0,7.0,7.0,4.0,1
5.0,6.0,7.0,7.0,5.0,6.0,6.0,5.0,1
5.0,4.0,6.0,6.0,4.0,6.0,6.0,5.0,1
6.0,6.0,7.0,7.0,6.0,7.0,7.0,6.0,1
5.0,5.0,7.0,6.0,6.0,7.0,7.0,5.0,1
4.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,1
6.0,5.0,7.0,6.0,5.0,6.0,6.0,6.0,1
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1
6.0,5.0,7.0,7.0,5.0,7.0,7.0,6.0,1
6.0,6.0,7.0,7.0,5.0,7.0,7.0,6.0,1
1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0
1.0,1.0,1.0,1.0,4.0,7.0,3.0,1.0,0
7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,1
6.0,7.0,7.0,7.0,5.0,6.0,7.0,6.0,1
5.0,7.0,7.0,7.0,4.0,5.0,6.0,6.0,1
4.0,5.0,7.0,7.0,4.0,2.0,4.0,5.0,1
1.0,1.0,2.0,1.0,3.0,5.0,3.0,2.0,0
