has holes,is long,is silver,is thin,made of metal,produces music,used by blowing air through,used in orchestras,label
2,2,2,2,2,2,2,2,1
2,2,1,2,0,2,2,2,1
2,2,0,2,1,2,2,2,1
2,2,2,2,2,2,2,2,1
0,1,0,2,2,1,0,0,0
1,1,0,0,0,0,0,0,0
2,2,0,2,0,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,0,2,0,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,0,2,1,2,2,2,1
2,2,0,2,1,2,2,1,1
0,2,0,0,0,0,0,0,0
2,1,1,2,2,2,2,2,1
2,2,0,2,0,2,2,2,1
0,2,0,1,0,0,0,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,1,2,0,2,2,2,1
1,1,1,0,0,0,0,0,0
0,2,0,1,0,0,1,0,0
0,0,0,1,0,0,0,0,0
2,2,1,2,2,2,2,1,1
0,1,0,0,0,0,0,1,0
2,2,2,2,2,2,2,2,1
2,2,0,2,0,2,2,1,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,0,2,0,2,2,2,1
2,2,2,2,2,2,2,2,1
1,0,1,0,2,0,1,0,0
2,2,0,2,0,2,2,2,1
2,2,0,2,1,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,0,2,0,2,2,2,1
0,1,0,1,1,0,0,0,0
2,1,0,0,0,1,0,0,0
0,0,0,0,1,0,0,1,0
2,2,0,2,0,2,2,2,1
0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,0,0,0,0,1,0,0
2,2,0,2,1,2,2,2,1
0,1,0,0,2,0,0,0,0
2,2,0,1,0,2,2,2,1
2,2,0,1,2,2,2,2,1
1,1,0,1,0,1,1,0,0
2,2,0,2,1,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,0,0,0,0,0,1,0
0,1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,1,0,2,0,2,2,2,1
0,0,0,1,2,0,0,0,0
2,2,2,2,2,2,2,2,1
2,1,0,1,0,2,2,2,1
0,0,0,2,0,0,0,0,0
2,2,2,1,2,2,2,2,1
2,2,1,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,1,2,1,2,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,2,0,2,0,2,2,2,1
0,1,0,1,0,1,0,0,0
0,1,0,0,0,0,2,0,0
2,2,1,2,2,2,2,2,1
2,1,2,2,2,2,2,2,1
1,1,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1,1
2,1,1,2,1,2,2,1,1
1,1,0,0,2,0,0,0,0
1,0,1,1,2,0,0,0,0
2,2,0,2,0,2,2,1,1
2,2,0,2,0,2,2,2,1
0,1,0,1,0,0,1,0,0
2,2,2,2,2,2,2,2,1
2,2,0,2,1,2,2,1,1
2,2,2,1,2,1,0,0,1
2,2,1,0,2,2,2,2,1
0,1,1,1,0,0,0,0,0
0,2,0,1,0,0,0,0,0
2,2,2,2,2,2,2,2,1
0,1,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,1
2,2,0,2,0,2,2,1,1
2,2,2,2,2,2,2,2,1
2,1,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,0,2,1,2,2,2,1
0,1,0,0,1,0,0,0,0
2,2,2,2,2,2,2,2,1
1,1,1,1,0,1,1,1,0
2,2,2,2,2,2,2,2,1
2,2,0,2,0,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
1,1,0,0,0,0,0,0,0
1,1,1,1,2,1,1,1,0
1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
2,2,2,2,2,2,2,2,1
0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0
1,2,0,1,2,0,0,0,0
2,1,2,2,2,2,2,2,1
2,1,0,2,0,2,2,2,1
2,1,0,2,0,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,0,1,0,2,2,2,1
