beats its chest,can swing from trees,has fur/hair,is black,is dangerous,is large,is strong,likes to eats bananas,label
1,2,2,2,2,2,2,2,1
2,1,2,2,1,2,2,1,1
2,1,2,2,1,2,2,1,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,1,0,0,1,1,0,0
0,0,1,0,0,1,2,0,0
2,1,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,1,1,0,2,2,2,0,0
0,1,0,0,0,2,1,1,0
0,0,0,0,0,0,0,0,0
1,1,1,2,1,2,2,1,0
2,2,2,2,2,2,2,2,1
1,1,1,2,1,2,2,1,0
0,1,0,1,1,2,1,1,0
1,1,2,2,2,2,2,1,1
1,1,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,1,0,1,2,1,0,0
2,2,2,2,2,2,2,2,1
0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1,1
2,2,2,2,2,2,2,2,1
2,1,2,2,2,2,2,1,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
1,2,2,2,1,2,2,2,1
1,1,2,2,2,2,2,1,1
0,0,0,0,0,0,0,1,0
2,2,2,2,2,2,2,2,1
2,2,2,2,1,2,2,2,1
0,0,0,0,1,2,1,0,0
0,0,0,0,1,2,1,0,0
2,2,2,2,2,2,2,2,1
1,2,2,2,1,2,2,1,1
0,0,0,0,0,1,1,1,0
2,1,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,1,2,2,2,1
0,0,0,0,1,2,1,0,0
0,0,1,0,0,1,0,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,2,1,0,1,1,0,0
2,2,2,2,2,2,2,2,1
0,0,0,0,1,1,1,0,0
0,2,2,2,1,2,2,1,1
0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,1
2,1,2,2,2,2,2,2,1
1,1,2,2,1,2,2,1,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,1,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,2,0,1,1,1,0,0
0,1,0,1,0,0,0,1,0
2,2,2,2,2,2,2,2,1
1,2,2,2,1,2,2,1,1
2,1,2,2,2,2,2,1,1
0,0,2,0,1,2,2,0,0
2,2,2,2,1,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,0,2,1,0,2,0,0
0,0,0,0,0,0,1,0,0
1,0,0,0,1,0,0,0,0
0,0,0,0,1,0,1,1,0
2,2,2,2,2,2,2,1,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
1,1,1,2,1,2,2,1,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
1,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,0,0,1,2,0,0,0
2,2,2,2,2,2,2,2,1
0,0,0,0,0,0,1,0,0
0,0,0,0,1,2,1,0,0
2,2,2,2,1,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
1,2,2,2,2,2,2,2,1
1,1,2,2,1,2,2,2,1
0,0,0,1,0,0,0,0,0
2,1,2,2,1,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,2,0,0,1,1,0,0
2,1,2,2,2,2,2,2,1
1,2,2,2,1,1,1,1,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
1,1,2,1,1,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,1,0,0,0,1,2,0,0
1,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,1,2,2,2,2,2,2,1
0,0,0,0,0,1,1,0,0
2,2,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1,1
0,0,0,0,0,1,1,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,1,2,2,2,1
0,0,0,0,1,0,1,0,0
2,1,2,2,2,2,2,2,1
0,0,0,2,0,1,0,0,0
2,2,2,2,1,2,2,2,1
0,0,0,1,0,0,0,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,0,0,0,2,2,0,0
2,2,2,2,1,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,0,0,1,1,1,0,0
1,2,2,2,0,2,2,1,1
2,2,2,1,1,2,2,2,1
0,0,2,0,2,2,2,0,0
2,2,2,2,1,2,2,2,1
0,0,2,2,0,1,0,0,0
0,0,0,2,0,1,1,0,0
2,2,2,2,2,2,2,2,1
2,1,2,2,2,2,2,2,1
2,2,2,2,2,2,2,1,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
1,0,0,0,2,0,1,1,0
