has a shell,has an antenna,has eyes,is edible,is found in gardens,is slimy,is slow,leaves a trail,label
0,0,2,2,1,1,1,0,0
2,2,2,2,2,2,2,2,1
2,2,0,2,2,2,2,2,1
2,2,2,0,1,1,1,1,1
0,0,1,0,0,0,0,0,0
2,2,2,1,2,2,2,2,1
0,0,2,0,0,1,1,0,0
2,2,2,1,2,2,2,2,1
0,2,2,1,2,2,2,2,1
1,0,0,0,0,0,2,0,0
2,2,2,2,2,2,2,2,1
0,1,2,0,2,0,1,0,0
1,0,2,1,0,0,1,0,0
2,2,2,1,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,1,2,2,2,2,2,1
0,2,0,0,0,0,1,0,0
2,2,2,2,2,2,2,2,1
2,2,1,1,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,1,2,2,2,2,1
0,0,0,0,0,0,0,1,0
0,0,2,1,1,0,2,1,0
0,0,0,0,0,0,0,0,0
0,0,2,1,1,0,1,0,0
2,1,2,2,2,2,2,2,1
2,2,2,1,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,1,2,2,2,1
2,2,1,2,2,2,2,2,1
1,0,2,0,0,0,2,0,0
2,2,2,2,2,2,2,2,1
1,0,2,2,1,0,1,0,0
1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,1,2,2,2,2,2,2,1
0,0,0,0,0,0,1,0,0
2,1,2,0,2,2,2,1,1
0,1,0,0,1,0,1,0,0
2,2,2,2,2,2,2,2,1
0,0,2,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0
2,2,2,1,2,2,2,2,1
0,0,0,0,1,0,0,0,0
2,1,1,1,1,2,2,1,1
2,2,2,2,2,2,2,2,1
0,0,2,0,1,0,0,0,0
0,0,2,0,0,0,0,0,0
2,2,2,2,2,2,2,2,1
2,0,2,2,2,2,2,2,1
2,1,2,0,2,2,2,2,1
2,2,2,1,2,2,2,2,1
2,2,2,1,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,1,0,1,0
2,2,2,2,2,2,2,2,1
0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,1,2,2,2,2,1
2,2,1,2,2,2,2,2,1
0,1,1,0,0,2,1,1,0
2,2,2,1,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,1,2,2,1
2,2,0,2,2,2,2,1,1
2,2,2,2,2,2,2,2,1
2,2,2,1,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,0,0,0,0,1,0,0
2,2,2,2,2,2,2,2,1
0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0
2,2,1,1,2,1,1,1,1
1,1,1,1,1,1,1,1,0
2,2,2,1,2,2,2,2,1
2,2,2,1,2,2,2,2,1
0,0,2,2,1,0,0,1,0
2,2,2,1,2,2,2,2,1
0,2,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0
2,2,2,1,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,2,2,0,0,1,1,0
2,2,1,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,1,2,2,1,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,1,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,2,2,0,2,1,0,0
0,0,2,1,0,0,0,2,0
2,1,2,2,2,2,2,2,1
2,1,2,1,2,2,2,2,1
1,1,1,1,1,1,1,1,0
2,2,2,2,2,2,2,2,1
2,2,2,1,2,2,2,2,1
2,1,0,1,1,1,2,1,1
2,2,2,2,2,2,2,2,1
0,2,2,2,2,1,1,1,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,1,1,2,2,2,2,2,1
1,1,0,0,0,0,0,0,0
0,1,2,2,0,1,1,0,0
2,1,1,2,2,2,2,2,1
2,2,2,1,2,2,2,2,1
2,2,2,1,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,0,1,2,2,2,2,1
2,2,0,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,1,2,2,2,2,1
0,0,0,0,0,0,1,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,1,2,2,1,1
2,2,2,2,2,2,2,2,1
0,0,2,2,0,0,1,0,0
2,2,1,2,1,2,2,2,1
2,2,2,1,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,1,2,2,2,2,1
2,2,1,2,2,2,2,2,1
2,2,1,2,2,2,2,2,1
2,1,2,1,2,2,2,2,1
0,0,0,0,2,0,0,2,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,1,2,2,2,2,2,1
0,0,0,0,0,0,1,0,0
2,2,2,2,2,2,2,2,1
2,2,2,0,2,2,2,2,1
0,0,2,1,0,0,0,1,0
1,2,2,1,2,2,2,1,1
0,0,0,0,0,0,0,0,0
2,2,2,1,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,0,0,0,0,1,0,0
2,2,2,2,2,2,2,2,1
2,2,2,1,2,2,2,2,1
0,0,1,0,1,0,0,0,0
0,0,2,0,0,0,0,0,0
2,2,2,2,2,2,2,1,1
2,2,2,1,2,2,2,2,1
2,2,1,2,2,2,2,2,1
1,0,0,0,0,0,0,0,0
2,2,2,1,2,2,2,2,1
0,2,2,1,2,1,1,2,0
1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,2,0,0
0,0,1,1,1,0,1,1,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
