has a handle/handles,has spokes,is carried,is collapsible,is watertight/waterproof,keeps things dry,made of fabric/cloth material,protects from the rain,label
0,0,0,0,0,0,1,0,0
2,2,2,1,2,2,1,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,0,0,0,1,1,0,2,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,0,1,1,0,1,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,1,2,1
2,2,2,2,2,2,2,2,1
0,0,1,0,0,0,0,0,0
2,2,2,2,2,2,2,2,1
2,1,1,1,1,1,1,1,0
2,2,2,2,2,2,2,2,1
0,0,1,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,0,0,0,1,1,0,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,1,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,0,0,1,0,0,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,0,2,0,2,1,1,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
1,2,1,2,2,2,2,2,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,1
0,0,1,0,0,1,0,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,0,0,2,1,1,0,0,0
0,0,1,0,0,0,0,0,0
2,2,2,2,2,2,2,2,1
2,1,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
1,0,0,1,1,0,2,0,0
0,0,0,0,0,0,0,0,0
2,1,2,0,2,1,0,2,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,0,2,1,2,2,0,1,0
0,0,0,1,2,0,0,0,0
2,2,2,1,2,2,1,2,1
2,2,2,2,2,2,2,2,1
0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,1
2,1,1,1,1,1,1,1,0
0,1,1,0,0,1,0,1,0
2,2,2,2,2,2,2,2,1
1,1,0,2,1,0,1,1,0
0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,1,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,1,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,1,2,2,2,2,2,1
2,2,2,2,0,1,2,0,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,0,0,0,0,0,1,0
2,2,2,2,2,2,2,2,1
0,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
2,0,0,0,2,1,0,0,0
0,0,0,1,0,0,0,1,0
2,2,2,2,1,1,2,1,1
0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,1,1,1,1,1,1,1,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,0,0,1,0,1,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,2,0,1,0,0,0,0
2,2,2,2,2,2,1,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,1,2,2,2,1
2,2,2,2,1,2,1,2,1
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
0,0,0,0,0,0,0,0,0
1,1,2,2,2,2,1,2,1
2,2,2,2,2,2,2,2,1
0,0,0,1,0,0,0,0,0
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,1
2,1,2,2,2,2,1,2,1
2,2,2,2,2,2,2,2,1
1,0,2,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0
