can contain liquid,has a handle/handles,is circular/round,is found on beaches,is used for gardening,made of metal,made of plastic,used for holding things,label
1,1,1,0,1,1,0,1,1
1,1,1,1,1,1,0,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,1,1
1,1,1,1,1,0,1,1,1
1,1,1,0,1,1,0,1,1
1,1,1,0,0,1,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1
1,1,1,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,1,1,1
1,1,1,1,1,1,1,1,0
0,0,1,0,0,1,0,0,0
1,1,1,1,0,1,0,1,1
1,1,1,0,1,0,1,1,1
0,0,0,0,0,0,1,0,0
1,1,1,0,1,0,0,1,1
1,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0
1,1,1,0,1,0,1,1,1
1,0,1,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1
1,1,1,0,1,1,0,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,0,1,0,1,1,1
1,1,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1
1,1,1,1,1,0,1,1,1
0,0,1,1,0,0,0,1,0
1,1,1,1,0,1,1,1,1
1,1,1,1,0,1,0,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,0,0,1,1,1
1,1,1,1,1,1,0,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,1,1
1,0,1,0,0,0,0,0,0
1,1,1,1,1,0,1,1,1
1,0,0,0,1,0,1,0,0
1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,0,1,1
0,1,1,1,0,0,1,0,0
1,0,1,0,0,0,1,1,1
1,1,1,1,1,1,0,1,1
1,1,0,0,1,1,1,0,0
0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,0,1,0,1,1,1
1,1,1,0,1,0,1,1,1
0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1
0,0,0,1,0,0,0,0,0
1,1,1,0,0,0,1,1,1
1,1,0,0,0,1,1,1,0
1,0,0,0,0,0,0,0,0
1,1,1,0,1,0,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,0,0,1,1,1
1,1,0,0,0,1,0,1,0
0,0,0,1,0,0,0,0,0
1,1,1,1,1,0,1,1,1
1,1,1,1,0,0,1,1,1
1,1,1,0,1,0,0,1,1
0,1,1,1,0,1,1,0,0
1,1,1,0,1,1,0,1,1
1,1,1,1,1,1,0,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,0
1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,0,1,1
1,0,0,1,0,0,0,0,0
1,1,1,1,1,1,0,1,1
1,0,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1
