found in offices,has drawers,has legs,is flat,is strong,made of metal,made of wood,used for working on,label
1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,0,0,1,1,1
1,1,1,1,1,1,1,1,1
0,0,0,0,1,1,0,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,0,0,0
1,0,1,0,1,1,0,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0,0,0,0,1,0,0,0,0
1,1,1,1,1,0,1,1,0
1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1
1,0,1,1,1,0,1,1,1
1,1,0,1,1,1,1,1,0
0,0,1,1,0,0,0,0,0
0,0,1,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1
0,0,1,0,0,0,0,0,0
1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1
0,0,0,1,0,1,0,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1
1,0,1,1,1,0,1,1,1
0,0,0,0,0,0,1,0,0
1,1,0,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1
0,0,1,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1
1,0,1,1,1,0,0,0,0
0,0,0,0,1,1,0,0,0
1,1,0,1,1,1,0,1,1
1,1,1,1,1,0,1,1,1
0,0,1,0,1,0,0,0,0
1,0,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1
0,0,1,0,1,0,0,0,0
1,1,1,1,1,0,1,1,1
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
1,1,1,1,0,1,0,1,1
