has holes,is long,is silver,is thin,made of metal,produces music,used by blowing air through,used in orchestras,label
1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,0,1
1,0,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,1
1,1,0,1,0,1,1,1,1
1,1,0,1,0,1,1,1,1
0,0,1,0,0,0,0,0,0
1,1,0,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1
0,0,1,0,0,0,0,0,0
1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,0,1,0,0,1,0,0
1,1,0,1,1,1,1,1,1
1,1,0,1,0,1,1,1,1
1,1,0,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0,1,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,1
1,1,0,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,1,1,1
0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,1
1,1,0,0,0,1,1,0,1
1,1,0,1,1,1,1,1,1
0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
1,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0,1,0,0,0,0,1,0,0
1,1,0,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0,1,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0,0,0,1,0,0,0,0,0
1,0,0,0,1,0,0,1,0
1,1,0,1,0,1,1,1,1
0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1
0,1,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1
0,1,1,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,0,0,1,0,0,0,0
1,1,0,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0
0,0,1,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1
